01/04/2025 13:31:07 - 0055:	 - train_loss: 0.338069:	 - test_loss: 0.275297:	 mIoU 0.7529
01/04/2025 13:31:27 - 0056:	 - train_loss: 0.353585:	 - test_loss: 0.277121:	 mIoU 0.7561
01/04/2025 13:31:46 - 0057:	 - train_loss: 0.366041:	 - test_loss: 0.267281:	 mIoU 0.7572
01/04/2025 13:32:05 - 0058:	 - train_loss: 0.355611:	 - test_loss: 0.291504:	 mIoU 0.7475
01/04/2025 13:32:25 - 0059:	 - train_loss: 0.349818:	 - test_loss: 0.262742:	 mIoU 0.7664
01/04/2025 13:32:44 - 0060:	 - train_loss: 0.345475:	 - test_loss: 0.278847:	 mIoU 0.7529
01/04/2025 13:33:03 - 0061:	 - train_loss: 0.343567:	 - test_loss: 0.298196:	 mIoU 0.7381
01/04/2025 13:33:23 - 0062:	 - train_loss: 0.368883:	 - test_loss: 0.517063:	 mIoU 0.5838
01/04/2025 13:33:42 - 0063:	 - train_loss: 0.407534:	 - test_loss: 0.303435:	 mIoU 0.7246
01/04/2025 13:34:01 - 0064:	 - train_loss: 0.351047:	 - test_loss: 0.285264:	 mIoU 0.7394
01/04/2025 13:34:21 - 0065:	 - train_loss: 0.372802:	 - test_loss: 0.301565:	 mIoU 0.7289
01/04/2025 13:34:40 - 0066:	 - train_loss: 0.363491:	 - test_loss: 0.284343:	 mIoU 0.7394
01/04/2025 13:34:59 - 0067:	 - train_loss: 0.339855:	 - test_loss: 0.297054:	 mIoU 0.7311
01/04/2025 13:35:19 - 0068:	 - train_loss: 0.346242:	 - test_loss: 0.279072:	 mIoU 0.7378
01/04/2025 13:35:38 - 0069:	 - train_loss: 0.337938:	 - test_loss: 0.280581:	 mIoU 0.7377
01/04/2025 13:35:58 - 0070:	 - train_loss: 0.339885:	 - test_loss: 0.277717:	 mIoU 0.7464
01/04/2025 13:36:17 - 0071:	 - train_loss: 0.348623:	 - test_loss: 0.268318:	 mIoU 0.7483
01/04/2025 13:36:36 - 0072:	 - train_loss: 0.339129:	 - test_loss: 0.269438:	 mIoU 0.7525
01/04/2025 13:36:56 - 0073:	 - train_loss: 0.348897:	 - test_loss: 0.269370:	 mIoU 0.7535
01/04/2025 13:37:15 - 0074:	 - train_loss: 0.386447:	 - test_loss: 0.308034:	 mIoU 0.7140
01/04/2025 13:37:34 - 0075:	 - train_loss: 0.344934:	 - test_loss: 0.269956:	 mIoU 0.7536
01/04/2025 13:37:54 - 0076:	 - train_loss: 0.341743:	 - test_loss: 0.265696:	 mIoU 0.7551
01/04/2025 13:38:13 - 0077:	 - train_loss: 0.324847:	 - test_loss: 0.273978:	 mIoU 0.7570
01/04/2025 13:38:33 - 0078:	 - train_loss: 0.357291:	 - test_loss: 0.278902:	 mIoU 0.7454
01/04/2025 13:38:52 - 0079:	 - train_loss: 0.337504:	 - test_loss: 0.277145:	 mIoU 0.7484
01/04/2025 13:39:11 - 0080:	 - train_loss: 0.345340:	 - test_loss: 0.322206:	 mIoU 0.7122
