01/04/2025 09:25:03 - 0000:	 - train_loss: 0.953837:	 - test_loss: 0.952397:	 mIoU 0.1693
01/04/2025 09:25:23 - 0001:	 - train_loss: 0.897559:	 - test_loss: 0.863364:	 mIoU 0.3470
01/04/2025 09:25:42 - 0002:	 - train_loss: 0.794425:	 - test_loss: 0.819933:	 mIoU 0.1148
01/04/2025 09:26:02 - 0003:	 - train_loss: 0.680978:	 - test_loss: 0.644520:	 mIoU 0.3843
01/04/2025 09:26:21 - 0004:	 - train_loss: 0.643150:	 - test_loss: 0.552542:	 mIoU 0.5029
01/04/2025 09:26:41 - 0005:	 - train_loss: 0.619492:	 - test_loss: 0.686407:	 mIoU 0.3801
01/04/2025 09:27:00 - 0006:	 - train_loss: 0.581360:	 - test_loss: 0.512514:	 mIoU 0.5673
01/04/2025 09:27:20 - 0007:	 - train_loss: 0.535007:	 - test_loss: 0.478177:	 mIoU 0.5719
01/04/2025 09:27:39 - 0008:	 - train_loss: 0.499555:	 - test_loss: 0.454520:	 mIoU 0.5966
01/04/2025 09:27:59 - 0009:	 - train_loss: 0.525682:	 - test_loss: 0.472179:	 mIoU 0.6007
