21/02/2025 23:10:12 - 0001:	 - train_loss: 0.933618:	 - test_loss: 0.860560:	 mIoU 0.1443
21/02/2025 23:10:33 - 0002:	 - train_loss: 0.815775:	 - test_loss: 0.824307:	 mIoU 0.2506
21/02/2025 23:10:54 - 0003:	 - train_loss: 0.747669:	 - test_loss: 0.675511:	 mIoU 0.3368
21/02/2025 23:11:15 - 0004:	 - train_loss: 0.692836:	 - test_loss: 0.640208:	 mIoU 0.3948
21/02/2025 23:11:36 - 0005:	 - train_loss: 0.646904:	 - test_loss: 0.617032:	 mIoU 0.3866
21/02/2025 23:11:57 - 0006:	 - train_loss: 0.595294:	 - test_loss: 0.509961:	 mIoU 0.5382
21/02/2025 23:12:18 - 0007:	 - train_loss: 0.578160:	 - test_loss: 0.483836:	 mIoU 0.5786
21/02/2025 23:12:40 - 0008:	 - train_loss: 0.549301:	 - test_loss: 0.481026:	 mIoU 0.5702
21/02/2025 23:13:01 - 0009:	 - train_loss: 0.542417:	 - test_loss: 0.447565:	 mIoU 0.5925
21/02/2025 23:13:22 - 0010:	 - train_loss: 0.533861:	 - test_loss: 0.473503:	 mIoU 0.5960
21/02/2025 23:13:43 - 0011:	 - train_loss: 0.502665:	 - test_loss: 0.422930:	 mIoU 0.6186
21/02/2025 23:14:04 - 0012:	 - train_loss: 0.500275:	 - test_loss: 0.426683:	 mIoU 0.6241
21/02/2025 23:14:25 - 0013:	 - train_loss: 0.469136:	 - test_loss: 0.440087:	 mIoU 0.6292
21/02/2025 23:14:46 - 0014:	 - train_loss: 0.484132:	 - test_loss: 0.404870:	 mIoU 0.6322
21/02/2025 23:15:07 - 0015:	 - train_loss: 0.467654:	 - test_loss: 0.415270:	 mIoU 0.6384
21/02/2025 23:15:28 - 0016:	 - train_loss: 0.463199:	 - test_loss: 0.365377:	 mIoU 0.6843
21/02/2025 23:15:49 - 0017:	 - train_loss: 0.443582:	 - test_loss: 0.390456:	 mIoU 0.6626
21/02/2025 23:16:11 - 0018:	 - train_loss: 0.444183:	 - test_loss: 0.364628:	 mIoU 0.6821
21/02/2025 23:16:32 - 0019:	 - train_loss: 0.448895:	 - test_loss: 0.390393:	 mIoU 0.6721
21/02/2025 23:16:53 - 0020:	 - train_loss: 0.432039:	 - test_loss: 0.360647:	 mIoU 0.6801
21/02/2025 23:17:14 - 0021:	 - train_loss: 0.442807:	 - test_loss: 0.345788:	 mIoU 0.6994
21/02/2025 23:17:35 - 0022:	 - train_loss: 0.435510:	 - test_loss: 0.337114:	 mIoU 0.6973
21/02/2025 23:17:56 - 0023:	 - train_loss: 0.390149:	 - test_loss: 0.338493:	 mIoU 0.7062
21/02/2025 23:18:17 - 0024:	 - train_loss: 0.437217:	 - test_loss: 0.349173:	 mIoU 0.6996
21/02/2025 23:18:38 - 0025:	 - train_loss: 0.406126:	 - test_loss: 0.367887:	 mIoU 0.6666
21/02/2025 23:18:59 - 0026:	 - train_loss: 0.416155:	 - test_loss: 0.334142:	 mIoU 0.7023
21/02/2025 23:19:20 - 0027:	 - train_loss: 0.391510:	 - test_loss: 0.327062:	 mIoU 0.7144
21/02/2025 23:19:42 - 0028:	 - train_loss: 0.396813:	 - test_loss: 0.318253:	 mIoU 0.7225
21/02/2025 23:20:03 - 0029:	 - train_loss: 0.401254:	 - test_loss: 0.325873:	 mIoU 0.7250
21/02/2025 23:20:24 - 0030:	 - train_loss: 0.408673:	 - test_loss: 0.323915:	 mIoU 0.7243
21/02/2025 23:20:45 - 0031:	 - train_loss: 0.413706:	 - test_loss: 0.326102:	 mIoU 0.7150
21/02/2025 23:21:06 - 0032:	 - train_loss: 0.405982:	 - test_loss: 0.356403:	 mIoU 0.6973
21/02/2025 23:21:27 - 0033:	 - train_loss: 0.401045:	 - test_loss: 0.312664:	 mIoU 0.7173
21/02/2025 23:21:48 - 0034:	 - train_loss: 0.398675:	 - test_loss: 0.322095:	 mIoU 0.7186
21/02/2025 23:22:09 - 0035:	 - train_loss: 0.375364:	 - test_loss: 0.340217:	 mIoU 0.7199
21/02/2025 23:22:30 - 0036:	 - train_loss: 0.370253:	 - test_loss: 0.352250:	 mIoU 0.6860
21/02/2025 23:22:51 - 0037:	 - train_loss: 0.389458:	 - test_loss: 0.314065:	 mIoU 0.7230
21/02/2025 23:23:13 - 0038:	 - train_loss: 0.381034:	 - test_loss: 0.310797:	 mIoU 0.7239
21/02/2025 23:23:34 - 0039:	 - train_loss: 0.375267:	 - test_loss: 0.292070:	 mIoU 0.7339
21/02/2025 23:23:55 - 0040:	 - train_loss: 0.357796:	 - test_loss: 0.295297:	 mIoU 0.7369
21/02/2025 23:24:16 - 0041:	 - train_loss: 0.364094:	 - test_loss: 0.282654:	 mIoU 0.7533
21/02/2025 23:24:37 - 0042:	 - train_loss: 0.375091:	 - test_loss: 0.321447:	 mIoU 0.7353
21/02/2025 23:24:58 - 0043:	 - train_loss: 0.362153:	 - test_loss: 0.288217:	 mIoU 0.7324
21/02/2025 23:25:19 - 0044:	 - train_loss: 0.378314:	 - test_loss: 0.298183:	 mIoU 0.7495
21/02/2025 23:25:40 - 0045:	 - train_loss: 0.377454:	 - test_loss: 0.303201:	 mIoU 0.7253
21/02/2025 23:26:01 - 0046:	 - train_loss: 0.392815:	 - test_loss: 0.305393:	 mIoU 0.7269
21/02/2025 23:26:22 - 0047:	 - train_loss: 0.371638:	 - test_loss: 0.295326:	 mIoU 0.7448
21/02/2025 23:26:44 - 0048:	 - train_loss: 0.360404:	 - test_loss: 0.292173:	 mIoU 0.7466
21/02/2025 23:27:05 - 0049:	 - train_loss: 0.355767:	 - test_loss: 0.288454:	 mIoU 0.7468
21/02/2025 23:27:26 - 0050:	 - train_loss: 0.382969:	 - test_loss: 0.321884:	 mIoU 0.7320
21/02/2025 23:27:47 - 0051:	 - train_loss: 0.363093:	 - test_loss: 0.501581:	 mIoU 0.5329
21/02/2025 23:28:08 - 0052:	 - train_loss: 0.344471:	 - test_loss: 0.282020:	 mIoU 0.7415
21/02/2025 23:28:29 - 0053:	 - train_loss: 0.373751:	 - test_loss: 0.329480:	 mIoU 0.7126
21/02/2025 23:28:50 - 0054:	 - train_loss: 0.361904:	 - test_loss: 0.302894:	 mIoU 0.7279
21/02/2025 23:29:11 - 0055:	 - train_loss: 0.367034:	 - test_loss: 0.283918:	 mIoU 0.7391
21/02/2025 23:29:32 - 0056:	 - train_loss: 0.369438:	 - test_loss: 0.299064:	 mIoU 0.7399
21/02/2025 23:29:53 - 0057:	 - train_loss: 0.345358:	 - test_loss: 0.271298:	 mIoU 0.7491
21/02/2025 23:30:15 - 0058:	 - train_loss: 0.351733:	 - test_loss: 0.266952:	 mIoU 0.7601
21/02/2025 23:30:36 - 0059:	 - train_loss: 0.359083:	 - test_loss: 0.279451:	 mIoU 0.7511
21/02/2025 23:30:57 - 0060:	 - train_loss: 0.347786:	 - test_loss: 0.287022:	 mIoU 0.7542
21/02/2025 23:31:18 - 0061:	 - train_loss: 0.334432:	 - test_loss: 0.283219:	 mIoU 0.7609
21/02/2025 23:31:39 - 0062:	 - train_loss: 0.336036:	 - test_loss: 0.287722:	 mIoU 0.7517
21/02/2025 23:32:00 - 0063:	 - train_loss: 0.349983:	 - test_loss: 0.295393:	 mIoU 0.7469
21/02/2025 23:32:21 - 0064:	 - train_loss: 0.349031:	 - test_loss: 0.276910:	 mIoU 0.7483
21/02/2025 23:32:42 - 0065:	 - train_loss: 0.337116:	 - test_loss: 0.277821:	 mIoU 0.7578
21/02/2025 23:33:03 - 0066:	 - train_loss: 0.351066:	 - test_loss: 0.266712:	 mIoU 0.7669
21/02/2025 23:33:24 - 0067:	 - train_loss: 0.326411:	 - test_loss: 0.290564:	 mIoU 0.7542
21/02/2025 23:33:46 - 0068:	 - train_loss: 0.341105:	 - test_loss: 0.256312:	 mIoU 0.7813
21/02/2025 23:34:07 - 0069:	 - train_loss: 0.342774:	 - test_loss: 0.261828:	 mIoU 0.7740
21/02/2025 23:34:28 - 0070:	 - train_loss: 0.361309:	 - test_loss: 0.261752:	 mIoU 0.7730
21/02/2025 23:34:49 - 0071:	 - train_loss: 0.339210:	 - test_loss: 0.282295:	 mIoU 0.7618
21/02/2025 23:35:10 - 0072:	 - train_loss: 0.322981:	 - test_loss: 0.272146:	 mIoU 0.7646
21/02/2025 23:35:31 - 0073:	 - train_loss: 0.334306:	 - test_loss: 0.262115:	 mIoU 0.7702
21/02/2025 23:35:52 - 0074:	 - train_loss: 0.330874:	 - test_loss: 0.262511:	 mIoU 0.7702
21/02/2025 23:36:13 - 0075:	 - train_loss: 0.347329:	 - test_loss: 0.299414:	 mIoU 0.7529
