31/03/2025 17:15:33 - 0002:	 - train_loss: 0.867492:	 - test_loss: 0.924292:	 mIoU 0.0634
31/03/2025 17:15:52 - 0003:	 - train_loss: 0.801075:	 - test_loss: 0.737951:	 mIoU 0.2657
31/03/2025 17:16:12 - 0004:	 - train_loss: 0.737697:	 - test_loss: 0.720949:	 mIoU 0.3130
31/03/2025 17:16:31 - 0005:	 - train_loss: 0.713643:	 - test_loss: 0.641087:	 mIoU 0.3943
31/03/2025 17:16:50 - 0006:	 - train_loss: 0.674159:	 - test_loss: 0.617716:	 mIoU 0.4333
31/03/2025 17:17:10 - 0007:	 - train_loss: 0.637537:	 - test_loss: 0.570810:	 mIoU 0.4690
31/03/2025 17:17:29 - 0008:	 - train_loss: 0.633524:	 - test_loss: 0.543306:	 mIoU 0.5006
31/03/2025 17:17:48 - 0009:	 - train_loss: 0.608622:	 - test_loss: 0.575654:	 mIoU 0.4863
31/03/2025 17:18:08 - 0010:	 - train_loss: 0.577373:	 - test_loss: 0.532226:	 mIoU 0.5211
31/03/2025 17:18:27 - 0011:	 - train_loss: 0.572567:	 - test_loss: 0.504443:	 mIoU 0.5451
31/03/2025 17:18:46 - 0012:	 - train_loss: 0.544327:	 - test_loss: 0.479156:	 mIoU 0.5708
31/03/2025 17:19:06 - 0013:	 - train_loss: 0.567599:	 - test_loss: 0.499659:	 mIoU 0.5541
31/03/2025 17:19:25 - 0014:	 - train_loss: 0.530189:	 - test_loss: 0.542088:	 mIoU 0.5016
31/03/2025 17:19:44 - 0015:	 - train_loss: 0.506782:	 - test_loss: 0.575850:	 mIoU 0.5166
31/03/2025 17:20:04 - 0016:	 - train_loss: 0.509932:	 - test_loss: 0.448261:	 mIoU 0.5979
31/03/2025 17:20:23 - 0017:	 - train_loss: 0.515406:	 - test_loss: 0.431212:	 mIoU 0.6384
31/03/2025 17:20:42 - 0018:	 - train_loss: 0.479252:	 - test_loss: 0.431158:	 mIoU 0.6081
31/03/2025 17:21:01 - 0019:	 - train_loss: 0.483231:	 - test_loss: 0.417868:	 mIoU 0.6292
31/03/2025 17:21:21 - 0020:	 - train_loss: 0.480909:	 - test_loss: 0.431347:	 mIoU 0.6291
31/03/2025 17:21:40 - 0021:	 - train_loss: 0.472177:	 - test_loss: 0.396208:	 mIoU 0.6473
31/03/2025 17:21:59 - 0022:	 - train_loss: 0.456788:	 - test_loss: 0.432658:	 mIoU 0.6327
31/03/2025 17:22:19 - 0023:	 - train_loss: 0.442653:	 - test_loss: 0.411343:	 mIoU 0.6297
31/03/2025 17:22:38 - 0024:	 - train_loss: 0.469097:	 - test_loss: 0.395034:	 mIoU 0.6655
31/03/2025 17:22:57 - 0025:	 - train_loss: 0.459219:	 - test_loss: 0.418433:	 mIoU 0.6250
31/03/2025 17:23:16 - 0026:	 - train_loss: 0.463001:	 - test_loss: 0.377703:	 mIoU 0.6678
31/03/2025 17:23:36 - 0027:	 - train_loss: 0.446636:	 - test_loss: 0.387142:	 mIoU 0.6581
31/03/2025 17:23:55 - 0028:	 - train_loss: 0.426266:	 - test_loss: 0.369332:	 mIoU 0.6578
31/03/2025 17:24:14 - 0029:	 - train_loss: 0.438303:	 - test_loss: 0.370863:	 mIoU 0.6797
31/03/2025 17:24:34 - 0030:	 - train_loss: 0.444986:	 - test_loss: 0.381635:	 mIoU 0.6748
31/03/2025 17:24:53 - 0031:	 - train_loss: 0.435506:	 - test_loss: 0.365489:	 mIoU 0.6789
31/03/2025 17:25:12 - 0032:	 - train_loss: 0.403840:	 - test_loss: 0.360112:	 mIoU 0.6958
31/03/2025 17:25:31 - 0033:	 - train_loss: 0.413027:	 - test_loss: 0.365132:	 mIoU 0.6729
31/03/2025 17:25:51 - 0034:	 - train_loss: 0.407248:	 - test_loss: 0.322712:	 mIoU 0.7199
31/03/2025 17:26:10 - 0035:	 - train_loss: 0.413783:	 - test_loss: 0.349214:	 mIoU 0.6910
31/03/2025 17:26:29 - 0036:	 - train_loss: 0.412272:	 - test_loss: 0.710142:	 mIoU 0.4151
31/03/2025 17:26:49 - 0037:	 - train_loss: 0.521065:	 - test_loss: 0.401516:	 mIoU 0.6515
31/03/2025 17:27:08 - 0038:	 - train_loss: 0.449148:	 - test_loss: 0.379978:	 mIoU 0.6540
31/03/2025 17:27:27 - 0039:	 - train_loss: 0.419303:	 - test_loss: 0.374065:	 mIoU 0.6668
31/03/2025 17:27:47 - 0040:	 - train_loss: 0.407661:	 - test_loss: 0.383196:	 mIoU 0.6573
