31/03/2025 23:15:17 - 0000:	 - train_loss: 0.981963:	 - test_loss: 0.943961:	 mIoU 0.0838
31/03/2025 23:15:37 - 0001:	 - train_loss: 0.836178:	 - test_loss: 0.715428:	 mIoU 0.3201
31/03/2025 23:15:56 - 0002:	 - train_loss: 0.746427:	 - test_loss: 0.632543:	 mIoU 0.4423
31/03/2025 23:16:15 - 0003:	 - train_loss: 0.667003:	 - test_loss: 0.626870:	 mIoU 0.4559
31/03/2025 23:16:35 - 0004:	 - train_loss: 0.639832:	 - test_loss: 0.554552:	 mIoU 0.5151
31/03/2025 23:16:54 - 0005:	 - train_loss: 0.606170:	 - test_loss: 0.570860:	 mIoU 0.5079
31/03/2025 23:17:13 - 0006:	 - train_loss: 0.593835:	 - test_loss: 0.598471:	 mIoU 0.5613
31/03/2025 23:17:32 - 0007:	 - train_loss: 0.575292:	 - test_loss: 0.544111:	 mIoU 0.6073
31/03/2025 23:17:52 - 0008:	 - train_loss: 0.537693:	 - test_loss: 0.558184:	 mIoU 0.5668
31/03/2025 23:18:11 - 0009:	 - train_loss: 0.545034:	 - test_loss: 0.594570:	 mIoU 0.4811
31/03/2025 23:18:30 - 0010:	 - train_loss: 0.535776:	 - test_loss: 0.485758:	 mIoU 0.5543
31/03/2025 23:18:50 - 0011:	 - train_loss: 0.538964:	 - test_loss: 0.438112:	 mIoU 0.6474
31/03/2025 23:19:09 - 0012:	 - train_loss: 0.518441:	 - test_loss: 0.471115:	 mIoU 0.6250
31/03/2025 23:19:28 - 0013:	 - train_loss: 0.524976:	 - test_loss: 0.441954:	 mIoU 0.6474
31/03/2025 23:19:48 - 0014:	 - train_loss: 0.506389:	 - test_loss: 0.452899:	 mIoU 0.6297
31/03/2025 23:20:07 - 0015:	 - train_loss: 0.506883:	 - test_loss: 0.423057:	 mIoU 0.6524
31/03/2025 23:20:26 - 0016:	 - train_loss: 0.500845:	 - test_loss: 0.473926:	 mIoU 0.6110
31/03/2025 23:20:45 - 0017:	 - train_loss: 0.492109:	 - test_loss: 0.442750:	 mIoU 0.6451
31/03/2025 23:21:05 - 0018:	 - train_loss: 0.483745:	 - test_loss: 0.416191:	 mIoU 0.6547
31/03/2025 23:21:24 - 0019:	 - train_loss: 0.486489:	 - test_loss: 0.429478:	 mIoU 0.6627
31/03/2025 23:21:43 - 0020:	 - train_loss: 0.487290:	 - test_loss: 0.427995:	 mIoU 0.6479
31/03/2025 23:22:03 - 0021:	 - train_loss: 0.479325:	 - test_loss: 0.424030:	 mIoU 0.6621
31/03/2025 23:22:22 - 0022:	 - train_loss: 0.445755:	 - test_loss: 0.418270:	 mIoU 0.6752
31/03/2025 23:22:41 - 0023:	 - train_loss: 0.466901:	 - test_loss: 0.439584:	 mIoU 0.6496
31/03/2025 23:23:01 - 0024:	 - train_loss: 0.463708:	 - test_loss: 0.425150:	 mIoU 0.6680
31/03/2025 23:23:20 - 0025:	 - train_loss: 0.471817:	 - test_loss: 0.389260:	 mIoU 0.6852
31/03/2025 23:23:39 - 0026:	 - train_loss: 0.430695:	 - test_loss: 0.391877:	 mIoU 0.6773
31/03/2025 23:23:59 - 0027:	 - train_loss: 0.431035:	 - test_loss: 0.432440:	 mIoU 0.6248
31/03/2025 23:24:18 - 0028:	 - train_loss: 0.444358:	 - test_loss: 0.370097:	 mIoU 0.6995
