01/04/2025 11:09:14 - 0001:	 - train_loss: 0.978777:	 - test_loss: 0.949243:	 mIoU 0.1434
01/04/2025 11:09:34 - 0002:	 - train_loss: 0.910200:	 - test_loss: 0.881541:	 mIoU 0.2233
01/04/2025 11:09:53 - 0003:	 - train_loss: 0.825135:	 - test_loss: 0.728368:	 mIoU 0.3260
01/04/2025 11:10:13 - 0004:	 - train_loss: 0.744769:	 - test_loss: 0.706112:	 mIoU 0.3714
01/04/2025 11:10:33 - 0005:	 - train_loss: 0.706777:	 - test_loss: 0.681377:	 mIoU 0.3878
01/04/2025 11:10:54 - 0006:	 - train_loss: 0.654081:	 - test_loss: 0.593008:	 mIoU 0.4724
01/04/2025 11:11:13 - 0007:	 - train_loss: 0.609103:	 - test_loss: 0.559596:	 mIoU 0.4841
01/04/2025 11:11:33 - 0008:	 - train_loss: 0.575807:	 - test_loss: 0.692247:	 mIoU 0.4381
01/04/2025 11:11:52 - 0009:	 - train_loss: 0.567283:	 - test_loss: 0.495006:	 mIoU 0.5711
01/04/2025 11:12:12 - 0010:	 - train_loss: 0.543418:	 - test_loss: 0.476918:	 mIoU 0.5789
01/04/2025 11:12:31 - 0011:	 - train_loss: 0.533013:	 - test_loss: 0.490122:	 mIoU 0.5772
01/04/2025 11:12:50 - 0012:	 - train_loss: 0.512318:	 - test_loss: 0.435039:	 mIoU 0.6232
01/04/2025 11:13:10 - 0013:	 - train_loss: 0.517592:	 - test_loss: 0.494802:	 mIoU 0.5697
01/04/2025 11:13:29 - 0014:	 - train_loss: 0.518961:	 - test_loss: 0.473479:	 mIoU 0.5811
01/04/2025 11:13:48 - 0015:	 - train_loss: 0.515588:	 - test_loss: 0.456452:	 mIoU 0.6326
01/04/2025 11:14:08 - 0016:	 - train_loss: 0.488217:	 - test_loss: 0.469767:	 mIoU 0.6023
01/04/2025 11:14:27 - 0017:	 - train_loss: 0.508607:	 - test_loss: 0.428276:	 mIoU 0.6508
01/04/2025 11:14:47 - 0018:	 - train_loss: 0.464557:	 - test_loss: 0.404866:	 mIoU 0.6630
01/04/2025 11:15:06 - 0019:	 - train_loss: 0.466880:	 - test_loss: 0.434779:	 mIoU 0.5939
01/04/2025 11:15:25 - 0020:	 - train_loss: 0.466314:	 - test_loss: 0.382462:	 mIoU 0.6817
01/04/2025 11:15:45 - 0021:	 - train_loss: 0.443570:	 - test_loss: 0.391375:	 mIoU 0.6702
01/04/2025 11:16:04 - 0022:	 - train_loss: 0.449625:	 - test_loss: 0.400872:	 mIoU 0.6560
01/04/2025 11:16:24 - 0023:	 - train_loss: 0.432492:	 - test_loss: 0.380625:	 mIoU 0.6751
01/04/2025 11:16:43 - 0024:	 - train_loss: 0.437323:	 - test_loss: 0.367719:	 mIoU 0.6873
01/04/2025 11:17:02 - 0025:	 - train_loss: 0.441448:	 - test_loss: 0.380467:	 mIoU 0.6697
01/04/2025 11:17:22 - 0026:	 - train_loss: 0.428724:	 - test_loss: 0.363254:	 mIoU 0.6877
01/04/2025 11:17:41 - 0027:	 - train_loss: 0.438779:	 - test_loss: 0.356318:	 mIoU 0.6926
01/04/2025 11:18:01 - 0028:	 - train_loss: 0.423051:	 - test_loss: 0.364688:	 mIoU 0.6995
01/04/2025 11:18:20 - 0029:	 - train_loss: 0.414769:	 - test_loss: 0.383987:	 mIoU 0.6536
01/04/2025 11:18:39 - 0030:	 - train_loss: 0.414318:	 - test_loss: 0.344553:	 mIoU 0.7071
01/04/2025 11:18:59 - 0031:	 - train_loss: 0.450199:	 - test_loss: 0.401705:	 mIoU 0.6637
